Agrément et confort du bateau,5
Les espaces de vie sont ils suffisants,5
Propreté et entretien,5
Amabilité,5
Efficacité,5
Disponibilité,5
Amabilité,
Efficacité,
Disponibilité,5
Respect du descriptif,5
Information sur le déroulement des journées,
Qualité,5
Variété,5
Quantité,
L'impression globale sur votre séjour,
Recommanderez vois cette croisère ?,5
COTE AZUR,
SARDAIGNE,
CORSE,
TURQUOISES,1
GRENADINES,1
ANTIGUA & BARBUDA,
CUBA,
BAHAMAS,
ILES GRECQUES,1
ILE MAURICE,
SEYCHELLES,
MALDIVES,
THAILANDE,1
POLYNESIE,1
CROATIE,
