Agrément et confort du bateau,5
Les espaces de vie sont ils suffisants,5
Propreté et entretien,3
Amabilité,5
Efficacité,5
Disponibilité,5
Amabilité,5
Efficacité,5
Disponibilité,5
Respect du descriptif,3
Information sur le déroulement des journées,
Qualité,5
Variété,5
Quantité,5
L'impression globale sur votre séjour,5
Recommanderez vois cette croisère ?,5
COTE AZUR,1
SARDAIGNE,1
CORSE,1
TURQUOISES,
GRENADINES,1
ANTIGUA & BARBUDA,
CUBA,
BAHAMAS,
ILES GRECQUES,1
ILE MAURICE,1
SEYCHELLES,
MALDIVES,
THAILANDE,
POLYNESIE,1
CROATIE,1
